facility_id,name,program_name,address,city,zip,permit_type,is_kbbq,osm_match
FA0059648,CHIL PO KOREAN RESTAURANT,CHIL PO KOREAN RESTAURANT,17303 S PIONEER BLVD,ARTESIA,90701,RESTAURANT (61-150) SEATS HIGH RISK,False,Chil-Po K-Food
FA0059761,CHODANG TOFU & BBQ,CHODANG TOFU & BBQ,2043 VERDUGO BLVD,MONTROSE,91020,RESTAURANT (31-60) SEATS HIGH RISK,True,Chi Dang Tofu & BBQ
FA0060582,DAE BAK KOREAN RESTAURANT,DAE BAK KOREAN RESTAURANT,11810 CENTRALIA ST,LAKEWOOD,90715,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0060619,DAN SUNG SA,DAN SUNG SA,3317 W 6TH ST,LOS ANGELES,90020,RESTAURANT (31-60) SEATS HIGH RISK,False,Dan Sung Sa
FA0060966,DOME POCHANA,DOME POCHANA,13191 GLADSTONE AVE,SYLMAR,91342,RESTAURANT (0-30) SEATS HIGH RISK,False,Dome Pochana
FA0061446,SURAWON KOREAN RESTAURANT,SURAWON KOREAN RESTAURANT,2833 W OLYMPIC BLVD,LOS ANGELES,90006,RESTAURANT (31-60) SEATS HIGH RISK,False,Surawon
FA0062521,GAM JA GOL,GAM JA GOL,3003 W OLYMPIC BLVD STE #107,LOS ANGELES,90005,RESTAURANT (31-60) SEATS HIGH RISK,False,Gam Ja Gol
FA0062774,GO POCHA,GO POCHA,401 S VERMONT AVE # 7-8,LOS ANGELES,90020,RESTAURANT (61-150) SEATS HIGH RISK,False,Go! Pocha
FA0063073,GUSHI,GUSHI,978 GAYLEY AVE,LOS ANGELES,90024,RESTAURANT (0-30) SEATS HIGH RISK,False,Gushi
FA0064649,KANG NAM RESTAURANT,KANG NAM RESTAURANT,4103 W OLYMPIC BLVD,LOS ANGELES,90019,RESTAURANT (151 + ) SEATS HIGH RISK,True,Kang Nam Restaurant
FA0067969,OO KOOK KOREAN BBQ STORAGE,OO KOOK KOREAN BBQ,3385 W 8TH ST,LOS ANGELES,90005,RESTAURANT (151 + ) SEATS HIGH RISK,True,Oo-Kook Korean BBQ
FA0070415,SHIK DO RAK NORTHRIDGE,SHIK DO RAK NORTHRIDGE,18434 DEVONSHIRE ST,NORTHRIDGE,91324,RESTAURANT (61-150) SEATS HIGH RISK,False,Shik Do Rak
FA0074338,YOUNG DONG TOFU,YOUNG DONG TOFU,1311 S BALDWIN AVE # B,ARCADIA,91007,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0137538,AHGASSI GOPCHANG,AHGASSI GOPCHANG,3744 W 6TH ST,LOS ANGELES,90005,RESTAURANT (61-150) SEATS HIGH RISK,True,Ahgassi Gopchang
FA0138582,DONG NAE GIL KOREAN RESTAURANT,DONG NAE GIL KOREAN REST,15116 S WESTERN AVE,GARDENA,90249,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0138778,GEN KOREAN BBQ HOUSE,GEN KOREAN BBQ HOUSE,11472 SOUTH ST,CERRITOS,90703,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0138835,SEOUL SOONDAE,SEOUL SOONDAE,11750 1/2 ARTESIA BLVD,ARTESIA,90701,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0143699,FLYING CHICKEN PA-DAK,FLYING CHICKEN PA-DAK,12238 E ARTESIA BLVD,ARTESIA,90701,RESTAURANT (31-60) SEATS HIGH RISK,False,Goobne Chicken
FA0162834,GEN KOREAN BBQ,GEN KOREAN BBQ,24301 CRENSHAW BLVD,TORRANCE,90505,RESTAURANT (61-150) SEATS HIGH RISK,True,Gen Korean BBQ
FA0163047,ESCALA,CANDELARIA,3451 W 6TH ST,LOS ANGELES,90020,RESTAURANT (61-150) SEATS HIGH RISK,False,Escala
